Species,Mass,Length,Habitat,Dietti
Acomys cahirinus,50.0,120.0,Temperate,Omnivore
Aconaemys fuscus,50.0,120.0,Temperate, Folivore
Akodon azarae,19.0,182.5,Tropical,Omnivore
Akodon montensis,42.0,113.0,Temperate,Omnivore
Allactaga euphratica,35.9,270.0,Temperate, Granivore
Allactodipus bobrinskii,65.0,284.0,Temperate,Omnivore
Ammospermophilus harrisii,122.0,237.4,Terrestrial,Carnivore
Ammospermophilus interpres,102.5,226.0,Temperate, Frugivore
Ammospermophilus leucurus,105.0,211.0,Temperate,Omnivore
Ammospermophilus nelsoni,155.0,249.0,Temperate,Carnivore
Anomalurus beecrofti,650.0,280.0,Tropical, Frugivore
Arborimus longicaudus,37.0,170.0,Temperate, Folivore
Arvicanthis niloticus,118.0,130.0,Tropical, Folivore
Arvicola amphibius,160.0,170.0,Temperate, Folivore
Atherurus africanus,2900.0,482.5,, Folivore
Atherurus macrourus,2650.0,482.5,Tropical, Folivore
Blarinomys breviceps,12.0,147.0,Tropical,Carnivore
Brachytarsomys albicauda,210.0,455.0,Tropical, Frugivore
Callosciurus finlaysonii,278.0,201.1,Tropical, Folivore
Callosciurus notatus,209.5,366.5,Tropical,Omnivore
Calomyscus bailwardi,20.4,166.5,Temperate, Folivore
Castor canadensis,22500.0,1035.0,Temperate, Lignivore
Castor fiber,24000.0,1040.0,Temperate, Folivore
Cavia aperea,637.0,274.0,Tropical, Folivore
Cavia intermedia,622.5,300.0,Tropical, Folivore
Cavia porcellus,900.0,228.5,Terrestrial, Folivore
Chaetodipus baileyi,31.0,208.0,Terrestrial, Granivore
Chaetodipus californicus,23.0,207.0,Temperate, Granivore
Chaetodipus fallax,20.0,185.0,Temperate, Granivore
Chaetodipus formosus,13.75,88.5,Temperate, Granivore
Chaetodipus nelsoni,14.25,180.5,Temperate, Granivore
Chaetodipus penicillatus,16.5,178.0,Temperate, Folivore
Chaetomys subspinosus,1300.0,418.5,Tropical, Frugivore
Coendou prehensilis,3500.0,450.0,Tropical, Frugivore
Cratogeomys neglectus,395.0,315.0,Tropical, Lignivore
Cricetomys gambianus,1230.0,777.5,Terrestrial,Omnivore
Cryptomys damarensis,144.0,200.0,Tropical, Folivore
